source_path,sha256,size_bytes,role,changed_since_baseline,included_in_export
console/adapters/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,source,no,partial
console/adapters/cron_adapter.py,396a64db4189cf4f451c7d3fa4281e6bbf1558ee8cca54456c8e322e6d37f8a1,4248,source,no,partial
console/adapters/data_adapter.py,ca0990c216243488dae52c7defc0bcc7e92d8dd97b63263f83e65f020cb33311,2067,source,no,partial
console/adapters/system_adapter.py,ae509ff07042c55e9d5f669e87acf6d1663eb29b4b50b6a41f0798c6d4beea70,2091,source,no,partial
console/app.py,b6dc848acff6a97789d015cd8515db8b4e25c29bdf1211933f3b80978d8aa80d,22006,source,no,partial
console/app_tmp.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,source,no,partial
console/remote_readonly_app.py,e9827a39572bfc967c605f88119c4711bc6ce8a923636a9711f22294cf8397ad,22558,source,yes,partial
console/services/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,source,no,partial
console/services/benchmark_service.py,07c6d2253e204db51c7368914cae53f7b15237f3152d69e18acedbc509453469,15505,source,no,partial
console/services/console_self_check_service.py,8bb909bae1d4853683cd123c95e444d1565de9c2405a4cd08f0b3a60333082a1,2617,source,no,partial
console/services/dashboard_service.py,0d0772a9c4bb31c4b36ad27d3e6340565d9743aa43f7a6f6ec4db3a144cf0395,186982,source,yes,partial
console/services/dashboard_service_patch.py,4ca0b543f354ada063bc3c4afaddb92242ae352bbaefb2d175bef0aad1584182,1517,source,no,partial
console/services/guardrail_service.py,ba0ca4eeec88d4295c0ffdf2a2c0ea4fb2205038183cba00d22d67be98e3903d,6686,source,no,partial
console/services/parameter_service.py,54a94c479baef32268049b0a247dac5a545561939d303450e3a3e2d21ac40556,8506,source,no,partial
console/services/performance_breakdown_service.py,dce2418b78cb5e1ce3a398f8730a6c3ba9021f7b3a560c23a0301ad70c93e299,6424,source,no,partial
console/services/position_risk_service.py,d01fb7f9fea83dec050ebf189ef09fcff2b830667cb183447f3e18ce3ce47842,7428,source,no,partial
console/services/summary_service.py,4c311458004c0f7431f1f0c54da99233015f435b328e06df264ca22706f19f35,34658,source,no,partial
console/utils/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,source,no,partial
console/utils/time_utils.py,15e4b360dc067cf8c366d5f799ed2ac402e5349817ace3faed9b3d92f7120efd,395,source,no,partial
console/websocket_server.py,33e99a2d130773bc8dded61b7aa52133fdf2f5e5fc9a5c5b91fd69d79723a36b,3218,source,no,partial
dashboard/alpaca.py,97fcf333c20c379897250e2db973e5a674e3166d18dffe5f75699e596059f022,2518,source,no,partial
dashboard/app.py,69b0e1ca6a205f92cab53d0cc547ac75bfc21c0106dec440fd7e54bb91426b7c,15982,source,yes,partial
dashboard/charts.py,7f4b0057153638675e54a6d736d4dc31674fe8892a5ad4aa5a9e691536c71809,5740,source,yes,partial
dashboard/demo.py,477dff26132a010e842fe98efd5b4f88576585ea9a4bba57dce1b2ba1abe76f7,4016,source,no,partial
scripts/adjust_individual_pnl.py,e3d5f61cd983758003fd8b4dd682951ab01f5a6fa6281acb78b6e7a261cffbf0,4528,source,no,partial
scripts/analyze_entry_exit_pairs.py,af6bd184ca8416284a4ace1b9ffa3fccb4ecea989f6828e10ddcc0bc0039a239,13785,source,no,partial
